Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 1256;e5e2f070;0,4377;6,477;7,691;0,7288;0,75;0,7276;0,5473;1,4;1,0163
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 2;eb0338b7;0,2636;7,8894;8,801;0,7797;0,7937;0,7787;0,4204;1,4927;1,0102
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 2356;97fba161;0,4134;5,413;7,8554;0,7119;0,7302;0,7109;0,5664;1,3661;1,0063
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 3456;48b018a1;0,6002;5,6405;6,4847;0,661;0,6875;0,6598;0,676;1,2741;1,005
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 124;7ae23892;0,4868;6,4902;7,347;0,6949;0,7188;0,6937;0,5764;1,337;0,9948
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 345;d90becd3;0,4877;6,5663;7,3408;0,6949;0,7097;0,6943;0,575;1,3319;0,9913
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 256;36a9fedf;0,5782;5,3124;6,6609;0,6441;0,6667;0,6431;0,6728;1,2396;0,9845
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 24;9beb1fa7;0,4185;6,3353;7,8207;0,6949;0,7273;0,6931;0,5399;1,3418;0,981
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 1456;8d1991c9;0,43;6,7865;7,7434;0,6949;0,7273;0,6931;0,535;1,3418;0,9788
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 1246;466a6981;0,2961;7,3799;8,6048;0,7288;0,7419;0,7282;0,4473;1,3955;0,9688
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 1345;dc463ef1;0,3542;6,3282;8,2421;0,6949;0,7353;0,6925;0,5037;1,3463;0,9671
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 12345;98cb9cc1;0,2661;7,3912;8,7864;0,7288;0,75;0,7276;0,4311;1,4;0,964
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 1256;e7e4b830;0,3861;6,9042;8,036;0,6949;0,7188;0,6937;0,5071;1,337;0,9636
