Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) + 56;216e279f;0,7409;3,948;5,2198;0,4828;0,5161;0,481;0,8742;0,9384;0,9095
SARIMAXv2.4 (0, 1, 1)(0, 0, 1, 5) (Log) (Standard) + 246;e5b5e636;0,7671;3,6361;4,9492;0,4576;0,5;0,4563;0,9247;0,8963;0,9091
SARIMAXv2.4 (3, 0, 0)(0, 0, 1, 5) + 2456;f99d48ca;0,7328;3,7578;5,3018;0,4746;0,5231;0,473;0,8803;0,9321;0,9088
SARIMAXv2.4 (3, 0, 0)(0, 0, 1, 5) + 246;d2463de6;0,7323;3,7541;5,3068;0,4746;0,5231;0,473;0,8802;0,9321;0,9087
SARIMAXv2.4 (0, 1, 1)(0, 0, 1, 5) (Log) + 246;e6916c67;0,7666;3,6401;4,9547;0,4576;0,5;0,4563;0,9238;0,8963;0,9087
SARIMAXv2.4 (0, 1, 1)(0, 0, 1, 5) (Log) (MinMax) + 246;ede55472;0,7666;3,6401;4,9547;0,4576;0,5;0,4563;0,9238;0,8963;0,9087
SARIMAXv2.4 (3, 0, 0)(0, 0, 1, 5) + 256;32753710;0,732;3,7634;5,3093;0,4746;0,5231;0,473;0,8792;0,9321;0,9083
SARIMAXv2.4 (1, 1, 1)(1, 0, 0, 5) (Log) (Standard) + 2346;1c315a5b;0,7711;3,5941;4,9069;0,4576;0,4839;0,4569;0,9325;0,8869;0,9074
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) (Standard) + 3;f8d27f48;0,6763;4,0406;5,835;0,5085;0,5246;0,508;0,8105;0,9778;0,9025
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 3;46e9085b;0,6762;4,0421;5,836;0,5085;0,5246;0,508;0,8103;0,9778;0,9024
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) + 3;5b6fe917;0,6762;4,0421;5,836;0,5085;0,5246;0,508;0,8103;0,9778;0,9024
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 245;df9553e0;0,7754;3,5892;4,8605;0,4407;0,4923;0,4391;0,9377;0,8695;0,9002
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 245;f237d140;0,7754;3,589;4,8605;0,4407;0,4923;0,4391;0,9377;0,8695;0,9002
SARIMAXv2.4 (0, 1, 0)(1, 0, 0, 5) (Log) + 245;b6874c3e;0,7754;3,587;4,8608;0,4407;0,4923;0,4391;0,9378;0,8695;0,9002
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) (Standard) + 25;e2180439;0,7782;3,5684;4,8305;0,4407;0,4762;0,4397;0,9425;0,8601;0,8972
SARIMAXv2.4 (3, 0, 0)(0, 0, 1, 5) + 2345;ee104991;0,7374;3,7412;5,256;0,4576;0,5152;0,4557;0,886;0,9051;0,8965
SARIMAXv2.4 (1, 0, 0)(0, 0, 1, 5) (MinMax) + 2356;35d34924;0,7457;3,7208;5,1722;0,4576;0,5;0,4563;0,8958;0,8963;0,8961
SARIMAXv2.4 (3, 0, 0)(2, 0, 1, 5) + 23456;447387df;0,7371;3,7495;5,2591;0,4576;0,5152;0,4557;0,8851;0,9051;0,8961
SARIMAXv2.4 (3, 0, 0)(0, 0, 1, 5) + 235;79454c88;0,7362;3,7402;5,2679;0,4576;0,5152;0,4557;0,885;0,9051;0,8961
SARIMAXv2.4 (3, 0, 0)(2, 0, 1, 5) + 2346;4c31147f;0,7364;3,7475;5,2662;0,4576;0,5152;0,4557;0,8846;0,9051;0,8959
SARIMAXv2.4 (1, 0, 0)(0, 0, 1, 5) (MinMax) + 236;b40e173e;0,7448;3,7358;5,181;0,4576;0,5;0,4563;0,8937;0,8963;0,8952
SARIMAXv2.4 (1, 1, 1)(0, 0, 1, 5) (Log) (Standard) + 24;e73f4ca7;0,766;3,6294;4,9608;0,4407;0,4923;0,4391;0,9241;0,8695;0,8941
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 5;84657c80;0,7442;3,8695;5,1869;0,4655;0,4918;0,4643;0,883;0,9017;0,8933
SARIMAXv2.4 (0, 1, 1)(0, 0, 1, 5) (Log) (MinMax) + 24;b65a34aa;0,7654;3,6396;4,9681;0,4407;0,4923;0,4391;0,9225;0,8695;0,8933
SARIMAXv2.4 (0, 1, 1)(0, 0, 1, 5) (Log) + 24;ae834f7a;0,7654;3,6396;4,9681;0,4407;0,4923;0,4391;0,9225;0,8695;0,8933
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 3;30fbefef;0,6181;4,3771;6,3378;0,5254;0,5484;0,5247;0,745;1,0141;0,893
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) (Standard) + 3;b923ed7d;0,6181;4,3771;6,3378;0,5254;0,5484;0,5247;0,745;1,0141;0,893
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) + 3;aff21238;0,6181;4,3771;6,3378;0,5254;0,5484;0,5247;0,745;1,0141;0,893
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) + 5;1b5efeee;0,7438;3,8755;5,1908;0,4655;0,4918;0,4643;0,8822;0,9017;0,8929
