Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 256 (Backtesting [5d]);d967c6d4;-0,1261;9,0795;10,8835;0,4576;0,4483;0,458;0,2089;0,8661;0,5704
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (YeoJohnson) (Standard) + 12356 (Backtesting [5d]);d8a9170b;-0,04;7,3795;10,4591;0,4237;0,4138;0,4241;0,2778;0,8012;0,5657
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 1256 (Backtesting [5d]);12427f20;-0,1531;9,0685;11,0135;0,4576;0,4286;0,4586;0,1963;0,8545;0,5583
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1235 (Backtesting [5d]);4cfab6f8;-1,0262;10,6755;14,5993;0,6102;0,6567;0,608;-0,2147;1,1888;0,5572
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (Log) (Standard) + 16 (Backtesting [5d]);01da9567;-0,4766;10,5285;12,4628;0,5254;0,5;0,5264;0,0305;0,9859;0,556
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 236 (Backtesting [5d]);540f1207;-0,58;10,8389;12,8918;0,5424;0,5263;0,5431;-0,019;1,0236;0,5544
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 2346 (Backtesting [5d]);3feeb8dc;-0,4184;8,9359;12,2146;0,4915;0,5;0,4914;0,0755;0,9411;0,5516
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 356 (Backtesting [5d]);e2ae2013;-0,4259;10,2079;12,2471;0,4915;0,5161;0,4908;0,0568;0,9505;0,5483
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 2346 (Backtesting [5d]);d9dfe7ec;-0,6219;10,512;13,0615;0,5254;0,5625;0,5241;-0,0346;1,0222;0,5466
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (Log) (Standard) + 1346 (Backtesting [5d]);7a345b1f;-0,6008;10,5042;12,9762;0,5254;0,5484;0,5247;-0,0251;1,0141;0,5464
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (YeoJohnson) (Standard) + 23456 (Backtesting [5d]);2f1d1ff4;-0,2962;9,3034;11,6769;0,4746;0,4364;0,4759;0,1266;0,8815;0,5418
Transformerv3.4 (15,96,4,2,0.25,96,0.00053) (Log) (Standard) + 13456 (Backtesting [5d]);174c2fb4;-0,3011;9,1168;11,6988;0,4576;0,4667;0,4575;0,1267;0,8769;0,5393
Transformerv3.4 (25,128,8,1,0.15,96,0.00013) (Log) (Standard) + 124 (Backtesting [5d]);4c2d01c0;-0,7123;10,8159;13,4208;0,5424;0,5574;0,542;-0,0779;1,0417;0,5379
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 345 (Backtesting [5d]);577d10bc;-0,6991;10,9338;13,3689;0,5254;0,5758;0,5236;-0,0731;1,0299;0,5336
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (Log) (Standard) + 146 (Backtesting [5d]);884f99e6;-0,3161;9,9285;11,7658;0,4576;0,4667;0,4575;0,11;0,8769;0,5318
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 4 (Backtesting [5d]);5f7a58b4;-0,8558;11,5799;13,9719;0,5593;0,5806;0,5586;-0,148;1,0776;0,5261
Transformerv3.4 (10,128,8,1,0.15,64,0.00019) (Log) (Standard) + 14 (Backtesting [5d]);4dc49cf3;-0,4573;10,9436;12,3811;0,4746;0,5079;0,4736;0,0353;0,9233;0,5237
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 1 (Backtesting [5d]);a50da042;-0,3941;10,229;12,1097;0,4746;0,4561;0,4753;0,071;0,8931;0,5232
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 36 (Backtesting [5d]);a14755d2;-0,2068;9,1404;11,2668;0,4237;0,4138;0,4241;0,1702;0,8012;0,5172
